TERYT4;GENDER;AGE_GROUP;predicted_BRCA_cases
2813;K;<65-74>;2.53035587018535
1429;K;<65-74>;5.2545379714106
1410;K;<65-74>;0
1411;K;<65-74>;3.89163484441676
1602;K;<65-74>;3.96321896822582
1611;K;<65-74>;6.66772034623509
206;K;<65-74>;4.64481402027902
3008;K;<65-74>;4.64488664771845
404;K;<65-74>;4.85421460679217
203;K;<65-74>;6.79626984170612
1419;K;<65-74>;9.8051015165098
1424;K;<65-74>;4.28174041046462
2606;K;<65-74>;4.15209961332215
1606;K;<65-74>;3.88136603370118
2802;K;<65-74>;3.00529335331936
2213;K;<65-74>;11.1657013546202
1422;K;<65-74>;5.0760509223455
805;K;<65-74>;4.21989866233437
2204;K;<65-74>;8.45954864288658
414;K;<65-74>;8.19383864933682
1821;K;<65-74>;0
606;K;<65-74>;6.66020691223465
224;K;<65-74>;5.81258535318923
202;K;<65-74>;8.57851050318272
806;K;<65-74>;4.2368769909228
1432;K;<65-74>;10.4391312298836
205;K;<65-74>;4.20987925136513
3204;K;<65-74>;7.64905157592405
2470;K;<65-74>;9.67796050426662
2468;K;<65-74>;9.4211770391341
1405;K;<65-74>;9.16694300148259
861;K;<65-74>;13.5564328484056
2465;K;<65-74>;23.0555422749614
662;K;<65-74>;10.2965381302117
264;K;<65-74>;73.3008764528121
2474;K;<65-74>;9.72082814454685
3064;K;<65-74>;69.9613633334483
3062;K;<65-74>;11.4512272596343
2604;K;<75-84>;10.2994554841699
605;K;<75-84>;2.43786107489696
1820;K;<75-84>;2.65484174328596
611;K;<75-84>;5.73644598231381
406;K;<75-84>;1.94988285233673
602;K;<75-84>;5.31676600695814
801;K;<75-84>;4.09936755439448
603;K;<75-84>;4.75030216285384
1423;K;<75-84>;2.1311827779555
2813;K;<75-84>;1.54673495591117
1429;K;<75-84>;3.42086997819936
1410;K;<75-84>;1.80457130144532
1411;K;<75-84>;2.99513367031081
1602;K;<75-84>;3.42652933943802
1611;K;<75-84>;4.41018615991814
206;K;<75-84>;3.61148363547916
3008;K;<75-84>;3.31677175498299
404;K;<75-84>;3.0834096718878
203;K;<75-84>;4.44469146287231
1419;K;<75-84>;6.50432350739859
1424;K;<75-84>;2.53834085291857
2606;K;<75-84>;2.82125422925064
1606;K;<75-84>;2.49712946708982
2802;K;<75-84>;1.84185879148776
2213;K;<75-84>;6.75013508773509
1422;K;<75-84>;2.5887357457393
805;K;<75-84>;2.56515440874993
2204;K;<75-84>;5.91298648165067
414;K;<75-84>;5.0306108206567
1821;K;<75-84>;1.39146519867226
606;K;<75-84>;3.63564635971612
224;K;<75-84>;3.50315388653599
202;K;<75-84>;6.58352650060483
806;K;<75-84>;3.05526523580316
1432;K;<75-84>;6.12947173598816
205;K;<75-84>;2.44695953014
3204;K;<75-84>;4.44750160488043
2470;K;<75-84>;5.34494403554744
2468;K;<75-84>;5.45774781478733
1405;K;<75-84>;6.1869037398444
861;K;<75-84>;9.83559151820221
2465;K;<75-84>;9.53674840775139
662;K;<75-84>;5.50319445653895
264;K;<75-84>;52.5077117954796
2474;K;<75-84>;5.85423037552805
3064;K;<75-84>;47.7999917571902
3062;K;<75-84>;6.25888924990213
1806;K;<0-44>;2.89221090459706
2012;K;<0-44>;2.37931140921273
1415;K;<0-44>;3.81942084929912
1207;K;<0-44>;5.10457426640898
2007;K;<0-44>;2.7312756286008
1815;K;<0-44>;3.58388368128455
412;K;<0-44>;2.66070573027967
1816;K;<0-44>;8.56557183382016
1210;K;<0-44>;9.12663542450036
2006;K;<0-44>;2.21502204228813
1819;K;<0-44>;2.697153103022
1204;K;<0-44>;3.3699240102375
618;K;<0-44>;3.54446752409766
1216;K;<0-44>;9.16654158879285
1812;K;<0-44>;0
1813;K;<0-44>;4.04566031287175
1409;K;<0-44>;1.99861928183037
1211;K;<0-44>;8.86416347025222
2608;K;<0-44>;2.03507296502521
1202;K;<0-44>;5.09250889648838
217;K;<0-44>;1.9239502880032
1214;K;<0-44>;2.84884176527026
1425;K;<0-44>;7.68393919744148
2013;K;<0-44>;3.06708080098692
2417;K;<0-44>;7.00341290880229
1401;K;<0-44>;1.41513003834413
608;K;<0-44>;3.44702244448399
1426;K;<0-44>;0
609;K;<0-44>;7.19343558234737
1803;K;<0-44>;6.99624623369398
1205;K;<0-44>;5.9543948349303
218;K;<0-44>;0
1811;K;<0-44>;7.0005638673439
1817;K;<0-44>;3.55808936543817
1209;K;<0-44>;7.86044319527659
1804;K;<0-44>;5.33170565518299
416;K;<0-44>;3.56560188648028
616;K;<0-44>;2.84864295076805
1416;K;<0-44>;3.79409156166622
3007;K;<0-44>;5.24681265061731
1217;K;<0-44>;3.36000253146669
2014;K;<0-44>;2.47020417453527
1403;K;<0-44>;5.54694677004007
1218;K;<0-44>;6.98885109930992
2205;K;<0-44>;7.49082865763959
1007;K;<0-44>;4.01640755997235
2201;K;<0-44>;5.21252238482471
408;K;<0-44>;3.19391600893472
2216;K;<0-44>;2.08540946141299
1808;K;<0-44>;3.44548818164299
3016;K;<0-44>;3.53188952281002
2805;K;<0-44>;4.90084917668377
2008;K;<0-44>;0
615;K;<0-44>;3.69118613396173
2002;K;<0-44>;7.43830623703876
1801;K;<0-44>;1.40951195703576
601;K;<0-44>;4.34031529894455
2603;K;<0-44>;0
812;K;<0-44>;1.84221604140936
2414;K;<0-44>;3.72756148849948
2613;K;<0-44>;2.79299985501963
204;K;<0-44>;1.9992062736881
1436;K;<0-44>;1.60369339645581
1810;K;<0-44>;4.2683949980937
1609;K;<0-44>;7.39181270601177
1608;K;<0-44>;2.78697480338486
2011;K;<0-44>;4.36700355486125
1802;K;<0-44>;3.79515692144012
1435;K;<0-44>;3.88656323480314
1201;K;<0-44>;5.94714827359493
415;K;<0-44>;5.49121073973097
1437;K;<0-44>;1.87818076144802
2210;K;<0-44>;1.81933299923387
3209;K;<0-44>;4.38192474128735
2402;K;<0-44>;9.23533683302835
2819;K;<0-44>;1.72178426773194
3018;K;<0-44>;2.62895170577289
405;K;<0-44>;2.40377414187603
2818;K;<0-44>;0
223;K;<0-44>;7.06645810194398
2612;K;<0-44>;4.50014705012173
1809;K;<0-44>;2.51200076082177
2801;K;<0-44>;3.29353870251629
1015;K;<0-44>;1.84543856586412
1219;K;<0-44>;5.84368299992916
2010;K;<0-44>;2.68011631840516
1010;K;<0-44>;3.9538175317792
613;K;<0-44>;0
2004;K;<0-44>;2.57692741641214
2410;K;<0-44>;5.97180977575687
3205;K;<0-44>;3.14213613521904
1434;K;<0-44>;12.9847590758985
620;K;<0-44>;5.32448374605427
212;K;<0-44>;2.37365219127027
1433;K;<0-44>;2.93237359280895
2062;K;<0-44>;3.38264293814896
1814;K;<0-44>;3.69282557574147
2411;K;<0-44>;4.94850139555107
1206;K;<0-44>;14.8300413766383
3021;K;<0-44>;20.3659259028858
2817;K;<0-44>;4.86360704108292
418;K;<0-44>;3.61184660510799
210;K;<0-44>;2.96445828900891
2003;K;<0-44>;3.09542406703776
1607;K;<0-44>;7.74361934381351
3027;K;<0-44>;5.18884987661178
1215;K;<0-44>;4.24232323057325
610;K;<0-44>;2.29663404419735
2212;K;<0-44>;4.93401592231243
1601;K;<0-44>;4.93652613682273
1013;K;<0-44>;2.0513548272368
811;K;<0-44>;5.42823057283185
607;K;<0-44>;4.59362016348149
2809;K;<0-44>;2.26447325161714
216;K;<0-44>;3.45016668575706
3010;K;<0-44>;6.08852539196498
417;K;<0-44>;0
1430;K;<0-44>;2.78169311504277
2403;K;<0-44>;9.51172736081873
612;K;<0-44>;3.31771239290616
2408;K;<0-44>;5.50218081742066
403;K;<0-44>;6.12435861959043
2214;K;<0-44>;6.4067928462989
1005;K;<0-44>;3.79770853143068
2814;K;<0-44>;6.89616375580375
1805;K;<0-44>;5.48289406195655
3029;K;<0-44>;3.35588227503766
2601;K;<0-44>;3.89126040997843
2001;K;<0-44>;3.84765171526864
1807;K;<0-44>;6.01595932267432
2804;K;<0-44>;3.38289135579292
3013;K;<0-44>;4.03755939902577
619;K;<0-44>;3.04054490532039
2812;K;<0-44>;2.95278071501621
807;K;<0-44>;2.0552456239015
3031;K;<0-44>;4.42439872037932
1404;K;<0-44>;2.57288062031002
3006;K;<0-44>;4.20135851155158
3015;K;<0-44>;4.13186804832821
222;K;<0-44>;2.59801474382634
1461;K;<0-44>;0
1438;K;<0-44>;0
209;K;<0-44>;3.8622700203789
3217;K;<0-44>;3.76119674901577
2404;K;<0-44>;7.51054132391015
2807;K;<0-44>;3.91743951528876
1418;K;<0-44>;11.1639529726815
1412;K;<0-44>;8.35639406846005
215;K;<0-44>;3.73278961666055
214;K;<0-44>;6.08233537070475
1861;K;<0-44>;2.25201081893502
1402;K;<0-44>;4.85324749222024
2605;K;<0-44>;4.46964999767909
2208;K;<0-44>;3.54902263487355
2602;K;<0-44>;4.64810029546637
1021;K;<0-44>;1.54640523203792
411;K;<0-44>;2.39107315707742
1009;K;<0-44>;2.83918427283312
661;K;<0-44>;3.55035223143944
2607;K;<0-44>;6.60278716635097
2207;K;<0-44>;5.19360440812499
2816;K;<0-44>;3.58974292147123
2479;K;<0-44>;3.49808439877487
2810;K;<0-44>;2.63419690311338
1018;K;<0-44>;2.64224496825595
1001;K;<0-44>;6.61783581914368
1407;K;<0-44>;3.54028689748417
1604;K;<0-44>;0
1006;K;<0-44>;2.91168981062916
1605;K;<0-44>;0
3022;K;<0-44>;3.39862346882828
2009;K;<0-44>;0
1864;K;<0-44>;2.58570700463557
1408;K;<0-44>;6.48665988889713
1818;K;<0-44>;5.61953884345336
220;K;<0-44>;4.12268509710936
410;K;<0-44>;4.73581598784509
804;K;<0-44>;5.55518052307208
2415;K;<0-44>;8.00964428563697
3212;K;<0-44>;2.4951379369423
1213;K;<0-44>;8.57940644392708
1863;K;<0-44>;10.7792888116015
2478;K;<0-44>;7.26482277800018
2202;K;<0-44>;5.21303472126001
409;K;<0-44>;2.83053864839702
1262;K;<0-44>;3.76902568895278
3214;K;<0-44>;7.2340092443903
413;K;<0-44>;3.5097789286342
226;K;<0-44>;0
213;K;<0-44>;2.23679816133539
3218;K;<0-44>;2.27603307009466
3030;K;<0-44>;4.37670693066895
402;K;<0-44>;5.21077766555355
3213;K;<0-44>;3.01084574247408
1420;K;<0-44>;5.01688416885993
862;K;<0-44>;7.85255297224296
1016;K;<0-44>;6.54226813018217
208;K;<0-44>;9.78539750178404
2215;K;<0-44>;11.7821923943239
3211;K;<0-44>;4.35493790894264
1014;K;<0-44>;6.45127473080278
3020;K;<0-44>;4.44406033759769
3203;K;<0-44>;3.9065900149565
3012;K;<0-44>;4.13380737262562
664;K;<0-44>;4.47557078153558
1414;K;<0-44>;4.60820565959595
1203;K;<0-44>;5.68912475555342
1417;K;<0-44>;5.89401536365767
3005;K;<0-44>;3.62137510858188
2413;K;<0-44>;7.98111015767281
2407;K;<0-44>;4.23574648707662
2005;K;<0-44>;3.98327310026773
2609;K;<0-44>;4.53766017504967
1610;K;<0-44>;3.54595627210531
3206;K;<0-44>;4.8906451014478
3025;K;<0-44>;3.43079805547562
211;K;<0-44>;6.78976097240248
201;K;<0-44>;6.27933577408575
2803;K;<0-44>;3.33723121461431
3202;K;<0-44>;2.59685957349671
1406;K;<0-44>;5.39264378155146
3028;K;<0-44>;3.38406999743273
3009;K;<0-44>;3.68219948999785
1212;K;<0-44>;6.27252309905885
810;K;<0-44>;4.46502243218783
2203;K;<0-44>;3.89288728346592
3061;K;<0-44>;4.31514974727566
3024;K;<0-44>;5.33637019782119
614;K;<0-44>;5.83569558411516
2406;K;<0-44>;4.45045248909335
1427;K;<0-44>;2.35675584982749
3216;K;<0-44>;2.81271866447304
2472;K;<0-44>;8.09726742460152
1413;K;<0-44>;3.3545206669184
802;K;<0-44>;3.90382472573268
3023;K;<0-44>;3.83474605950976
2815;K;<0-44>;6.29587241154594
3017;K;<0-44>;9.26958025254604
3019;K;<0-44>;9.02374367054018
2412;K;<0-44>;4.38802965820971
2808;K;<0-44>;3.8667161970675
219;K;<0-44>;8.85498808134635
3207;K;<0-44>;2.50889584289319
3011;K;<0-44>;5.03588160197014
2061;K;<0-44>;18.5556933426519
3002;K;<0-44>;5.25798462923427
1208;K;<0-44>;2.73279599785044
1063;K;<0-44>;2.25540821305209
2263;K;<0-44>;5.04889727224853
1008;K;<0-44>;6.69791496478132
604;K;<0-44>;3.18025060700034
3004;K;<0-44>;4.27781178779204
3208;K;<0-44>;3.63372147651192
1464;K;<0-44>;5.28456760682476
3026;K;<0-44>;4.98910322854951
1012;K;<0-44>;6.54359413738577
617;K;<0-44>;4.35590829004459
2211;K;<0-44>;4.49799414447406
2861;K;<0-44>;7.02028519788343
1661;K;<0-44>;5.57536136448733
1421;K;<0-44>;8.45525574693285
808;K;<0-44>;3.1466622446489
3001;K;<0-44>;2.3875285834651
1020;K;<0-44>;9.54252030458348
3201;K;<0-44>;3.38311923351035
2611;K;<0-44>;5.28873342605165
3014;K;<0-44>;2.1704571255554
1003;K;<0-44>;2.29358143652078
2477;K;<0-44>;6.99690594076563
3003;K;<0-44>;9.06466066721512
1463;K;<0-44>;12.7007265847283
2462;K;<0-44>;11.3731407014386
1017;K;<0-44>;3.91820167284001
1011;K;<0-44>;2.89531574951034
407;K;<0-44>;10.4247649068467
2405;K;<0-44>;9.79975283252921
809;K;<0-44>;3.98712436151361
462;K;<0-44>;6.20906987414026
2209;K;<0-44>;3.537696429299
1603;K;<0-44>;5.3026643968831
2661;K;<0-44>;10.2161694911398
