"","TERYT_CODE","gender","age","predicted_BRCA_cases"
"126",2008,"M","85+",0.0235676215856096
"127",2008,"K","<0-44>",1.95277207057366
"128",2008,"K","<45-54>",3.74980220893066
"129",2008,"K","<55-64>",3.13753029029227
"130",2008,"K","<65-74>",2.78448975693615
"131",2008,"K","<75-84>",2.78045196975846
"132",2008,"K","85+",0.695948521333603
"133",2009,"M","<0-44>",0
"134",2009,"M","<45-54>",0.0299351990984222
"135",2009,"M","<55-64>",0.104583156937454
"136",2009,"M","<65-74>",0.0331307586747697
"137",2009,"M","<75-84>",0.054032078267826
"138",2009,"M","85+",0.0104097268487675
"139",2009,"K","<0-44>",0.926963677322063
"140",2009,"K","<45-54>",1.87624608373683
"141",2009,"K","<55-64>",1.75789929749636
"142",2009,"K","<65-74>",1.4445028094806
"143",2009,"K","<75-84>",1.28340548015211
"144",2009,"K","85+",0.307739736777202
"145",2010,"M","<0-44>",0
"146",2010,"M","<45-54>",0.0681074693213122
"147",2010,"M","<55-64>",0.201505119874985
"148",2010,"M","<65-74>",0.0844071232083394
"149",2010,"M","<75-84>",0.144994819740069
"150",2010,"M","85+",0.0267321785476349
"151",2010,"K","<0-44>",2.08765613279849
"152",2010,"K","<45-54>",4.35369790183234
"153",2010,"K","<55-64>",3.77058503535928
"154",2010,"K","<65-74>",3.53014023526415
"155",2010,"K","<75-84>",3.55860425966843
"156",2010,"K","85+",0.80251563866281
"157",2011,"M","<0-44>",0
"158",2011,"M","<45-54>",0.103971011770598
"159",2011,"M","<55-64>",0.26596421110001
"160",2011,"M","<65-74>",0.21504188529872
"161",2011,"M","<75-84>",0.165873234449384
"162",2011,"M","85+",0.0394736842105263
"163",2011,"K","<0-44>",3.18089228059877
"164",2011,"K","<45-54>",6.32543751384538
"165",2011,"K","<55-64>",6.98780487804878
"166",2011,"K","<65-74>",5.40696551611267
"167",2011,"K","<75-84>",4.90906494716749
"168",2011,"K","85+",1.20159861886505
"169",2012,"M","<0-44>",0
"170",2012,"M","<45-54>",0.0519855058852992
"171",2012,"M","<55-64>",0.160723789249601
"172",2012,"M","<65-74>",0.0520486179180553
"173",2012,"M","<75-84>",0.0829890755531076
"174",2012,"M","85+",0.0149067288474351
"175",2012,"K","<0-44>",1.68321759474739
"176",2012,"K","<45-54>",2.98988892053546
"177",2012,"K","<55-64>",2.53773237271122
"178",2012,"K","<65-74>",1.80481262327416
"179",2012,"K","<75-84>",2.05376065292871
"180",2012,"K","85+",0.467590412771014
"181",2013,"M","<0-44>",0
"182",2013,"M","<45-54>",0.0813924367643375
"183",2013,"M","<55-64>",0.284114963074463
"184",2013,"M","<65-74>",0.0970513006129048
"185",2013,"M","<75-84>",0.155381568766311
"186",2013,"M","85+",0.0339773484343771
"187",2013,"K","<0-44>",2.71019795845155
"188",2013,"K","<45-54>",5.10554131459856
"189",2013,"K","<55-64>",4.70414384303531
"190",2013,"K","<65-74>",3.81248905655572
"191",2013,"K","<75-84>",3.52741579113496
"192",2013,"K","85+",0.991726642900384
"193",2014,"M","<0-44>",0
"194",2014,"M","<45-54>",0.0636661031805659
"195",2014,"M","<55-64>",0.0426985761692249
"196",2014,"M","<65-74>",0.120592838074197
"197",2014,"M","<75-84>",0.0983069074503942
"198",2014,"M","85+",0.0174050632911393
"199",2014,"K","<0-44>",2.11087793105697
"200",2014,"K","<45-54>",4.41287698977816
"201",2014,"K","<55-64>",4.30394590965163
"202",2014,"K","<65-74>",3.10169165705498
"203",2014,"K","<75-84>",2.4685672844238
"204",2014,"K","85+",0.493688482321024
"205",2261,"M","<0-44>",0.385129676491903
"206",2261,"M","<45-54>",0.636039880956629
"207",2261,"M","<55-64>",2
"208",2261,"M","<65-74>",7.20289029776142
