"TERYT4" "wynik" "Plec" "Age_Group"
1418 8.68163451201904 "K" "<0-44>"
1418 18.5841671580842 "K" "<45-54>"
1418 21.7145625469421 "K" "<55-64>"
1419 1.76137634734069 "M" "<75-84>"
1419 5.80489558027063 "K" "<0-44>"
1419 4.49269301840206 "K" "<75-84>"
1419 10.3986404872602 "K" "<45-54>"
1419 6.40768636482038 "K" "<65-74>"
1419 13.9809647661866 "K" "<55-64>"
1420 1.6046123634257 "K" "85+"
1420 4.41186314869081 "K" "<75-84>"
1420 3.97857956213328 "K" "<0-44>"
1420 7.16566802773542 "K" "<65-74>"
1420 8.54724791746996 "K" "<45-54>"
1420 14.6500986977582 "K" "<55-64>"
1421 3.3093663940148 "M" "<65-74>"
1421 1.70644892113246 "M" "<55-64>"
1421 6.02419755098485 "K" "<0-44>"
1421 4.12290550822835 "K" "85+"
1421 11.0342523227393 "K" "<75-84>"
1421 17.1835181035013 "K" "<65-74>"
1421 13.4713780428164 "K" "<45-54>"
1421 30.8340081400993 "K" "<55-64>"
1422 1.19435458431494 "K" "85+"
1422 2.83047050738452 "K" "<75-84>"
1422 2.81618283808552 "K" "<0-44>"
1422 5.03019685849307 "K" "<45-54>"
1422 5.0412124766983 "K" "<65-74>"
1422 6.31777543490517 "K" "<55-64>"
1423 3.36768475870864 "K" "<75-84>"
1423 1.9002512967957 "K" "<0-44>"
1423 3.42534235058839 "K" "<45-54>"
1423 3.46957328716301 "K" "<65-74>"
1423 4.42133564888634 "K" "<55-64>"
1412 2.41126293605416 "K" "85+"
1412 9.57359146760105 "K" "<75-84>"
1412 7.63546444374016 "K" "<0-44>"
1412 14.3434830074346 "K" "<65-74>"
1412 15.4581920985525 "K" "<45-54>"
1412 23.3271425454865 "K" "<55-64>"
1413 4.17261848062946 "K" "<75-84>"
1413 3.39530664620461 "K" "<0-44>"
1413 5.37387176258797 "K" "<65-74>"
1413 6.76528995668325 "K" "<45-54>"
1413 10.0392859902601 "K" "<55-64>"
1424 2.19809955099288 "K" "<75-84>"
1424 2.60827883530721 "K" "<0-44>"
1424 1.14743106240459 "K" "85+"
1424 3.36433254735867 "K" "<65-74>"
1424 6.59181556848591 "K" "<55-64>"
1424 5.02993897867287 "K" "<45-54>"
1425 1.76398667478694 "M" "<75-84>"
1425 1.66260983492218 "M" "<65-74>"
1425 7.75627187665158 "K" "<0-44>"
1425 8.99543996701898 "K" "<65-74>"
1425 12.7412915976936 "K" "<45-54>"
1425 7.52491598843507 "K" "<75-84>"
1425 17.3966956624537 "K" "<55-64>"
1426 3.64086367182131 "K" "<75-84>"
1426 5.17031763446226 "K" "<65-74>"
1426 9.10531931358769 "K" "<55-64>"
1426 7.11923765569895 "K" "<45-54>"
1427 3.36138873136467 "K" "<75-84>"
1427 2.49723975247888 "K" "<0-44>"
1427 3.8622706724199 "K" "<65-74>"
1427 5.63832507053971 "K" "<45-54>"
1427 8.56534445045443 "K" "<55-64>"
1429 1.09678484274509 "K" "85+"
1429 0.775640370729803 "M" "<45-54>"
1429 2.39273350788052 "K" "<0-44>"
1429 4.5472245229097 "K" "<75-84>"
1429 5.53981393126952 "K" "<45-54>"
1429 7.27389988581182 "K" "<65-74>"
1429 8.53463254043885 "K" "<55-64>"
1428 8.32087241597672 "K" "<65-74>"
1428 5.70427361691207 "K" "<75-84>"
1428 5.06355029999549 "K" "<0-44>"
1428 9.06200903090076 "K" "<45-54>"
1428 14.9230777630704 "K" "<55-64>"
1430 0.682696770893978 "M" "<75-84>"
1430 0.837476603769195 "M" "<55-64>"
1430 0.543234024847952 "M" "<0-44>"
1430 1.82657779079219 "K" "<75-84>"
1430 2.5007189563668 "K" "<65-74>"
1430 3.81648349111373 "K" "<45-54>"
1430 2.10173893693729 "K" "<0-44>"
1430 5.29120679497233 "K" "<55-64>"
1432 1.63364687268604 "M" "<65-74>"
1432 1.83018807145211 "M" "<55-64>"
1432 5.96863755550193 "K" "<75-84>"
1432 6.7307706123066 "K" "<0-44>"
1432 11.0489995875812 "K" "<45-54>"
1432 8.94910158455799 "K" "<65-74>"
1432 16.7467173392649 "K" "<55-64>"
1433 1.56457566932405 "K" "85+"
1433 1.44874382866135 "M" "<75-84>"
1433 3.78775647228726 "K" "<75-84>"
1433 3.71610997305319 "K" "<0-44>"
1433 6.0716197298584 "K" "<65-74>"
1433 6.03187502976286 "K" "<45-54>"
1433 10.7007566720341 "K" "<55-64>"
1401 1.38406903932167 "K" "<75-84>"
1401 1.91451146075094 "K" "<65-74>"
1401 1.7824829675905 "K" "<0-44>"
1401 3.04297058469297 "K" "<45-54>"
1401 4.11858320510677 "K" "<55-64>"
1402 1.40905991410565 "M" "<55-64>"
1402 0.916487513059129 "M" "<65-74>"
1402 7.51221772865782 "K" "<65-74>"
1402 4.95743426593657 "K" "<75-84>"
1402 3.81026127509282 "K" "<0-44>"
1402 12.2186436345707 "K" "<55-64>"
1402 11.4220619900405 "K" "<45-54>"
1403 1.41209896749296 "M" "<65-74>"
1403 4.74381964008848 "K" "<75-84>"
1403 2.01079879165976 "K" "85+"
1403 5.22892209676442 "K" "<0-44>"
1403 6.641459070823 "K" "<65-74>"
1403 11.9256418518013 "K" "<55-64>"
1403 8.31720862993808 "K" "<45-54>"
1404 0.829923512401204 "K" "85+"
1404 2.21578701186646 "K" "<0-44>"
1404 2.80567568189535 "K" "<75-84>"
1404 4.39806223409638 "K" "<65-74>"
1404 7.05985773167845 "K" "<55-64>"
1405 0.859024517531345 "M" "<75-84>"
1405 1.91955519721104 "K" "85+"
1405 4.33792833347348 "K" "<0-44>"
1405 4.77803869059846 "K" "<75-84>"
1405 9.91757174275708 "K" "<45-54>"
1405 8.69696501436009 "K" "<65-74>"
1405 14.7212883435152 "K" "<55-64>"
1406 2.61513962204657 "K" "85+"
1406 0.930129655566958 "M" "<45-54>"
1406 9.90913295484348 "K" "<65-74>"
1406 6.47609665651534 "K" "<75-84>"
1406 5.27719510419336 "K" "<0-44>"
1406 8.37631450134652 "K" "<45-54>"
1406 14.3899099713473 "K" "<55-64>"
1407 0.785674177636331 "M" "85+"
1407 1.30868074466117 "K" "85+"
1407 3.04438629626826 "K" "<75-84>"
1407 4.57551693364225 "K" "<65-74>"
1407 5.82049425212565 "K" "<45-54>"
1407 3.45693240524201 "K" "<0-44>"
1407 11.617383161299 "K" "<55-64>"
1436 1.1075891672121 "K" "85+"
1436 1.69382836430367 "K" "<75-84>"
1436 3.0801781551371 "K" "<45-54>"
1436 1.79694360382032 "K" "<0-44>"
1436 4.52333350487512 "K" "<55-64>"
1436 3.44134612555905 "K" "<65-74>"
1408 2.0535072744205 "M" "<65-74>"
1408 5.81590222316048 "K" "<0-44>"
1408 7.37254841095592 "K" "<65-74>"
1408 5.70390111510021 "K" "<75-84>"
1408 11.2978208967316 "K" "<45-54>"
1408 16.3663887851596 "K" "<55-64>"
1409 0.881805404171671 "K" "85+"
1409 2.17057856825053 "K" "<75-84>"
1409 2.77039082292115 "K" "<65-74>"
1409 4.15853149445367 "K" "<55-64>"
1409 1.57723999108188 "K" "<0-44>"
1409 3.76533064622778 "K" "<45-54>"
1434 2.20735561311913 "M" "<75-84>"
