Kod;Nazwa;³ó¿ka w szpitalach ogólnych
1462000;Powiat m.P³ock;1156,00
1463000;Powiat m.Radom;1468,00
1464000;Powiat m.Siedlce;782,00
1465000;Powiat m. st. Warszawa;10347,00
1600000;OPOLSKIE;4387,00
1601000;Powiat brzeski;278,00
1602000;Powiat g³ubczycki;154,00
1603000;Powiat kêdzierzyñsko-kozielski;405,00
1604000;Powiat kluczborski;165,00
1605000;Powiat krapkowicki;126,00
1606000;Powiat namys³owski;217,00
1607000;Powiat nyski;912,00
1608000;Powiat oleski;243,00
1609000;Powiat opolski;253,00
1610000;Powiat prudnicki;189,00
1611000;Powiat strzelecki;199,00
1661000;Powiat m.Opole;1246,00
1800000;PODKARPACKIE;9556,00
1801000;Powiat bieszczadzki;131,00
1802000;Powiat brzozowski;413,00
1803000;Powiat dêbicki;564,00
1804000;Powiat jaros³awski;304,00
1805000;Powiat jasielski;412,00
1806000;Powiat kolbuszowski;218,00
1808000;Powiat le¿ajski;414,00
1809000;Powiat lubaczowski;235,00
1810000;Powiat ³añcucki;293,00
1811000;Powiat mielecki;545,00
1812000;Powiat ni¿añski;222,00
1814000;Powiat przeworski;326,00
1815000;Powiat ropczycko-sêdziszowski;80,00
1816000;Powiat rzeszowski;120,00
1817000;Powiat sanocki;422,00
1818000;Powiat stalowowolski;517,00
1819000;Powiat strzy¿owski;131,00
1820000;Powiat tarnobrzeski;286,00
1821000;Powiat leski;171,00
1861000;Powiat m.Krosno;689,00
1862000;Powiat m.Przemyœl;741,00
1863000;Powiat m.Rzeszów;1947,00
1864000;Powiat m.Tarnobrzeg;375,00
2000000;PODLASKIE;5970,00
2001000;Powiat augustowski;189,00
2002000;Powiat bia³ostocki;129,00
2003000;Powiat bielski;249,00
2004000;Powiat grajewski;260,00
2005000;Powiat hajnowski;322,00
2006000;Powiat kolneñski;150,00
2008000;Powiat moniecki;188,00
2009000;Powiat sejneñski;87,00
2010000;Powiat siemiatycki;150,00
2011000;Powiat sokólski;266,00
2013000;Powiat wysokomazowiecki;169,00
2014000;Powiat zambrowski;104,00
2061000;Powiat m.Bia³ystok;2520,00
2062000;Powiat m.£om¿a;617,00
2063000;Powiat m.Suwa³ki;570,00
2200000;POMORSKIE;8708,00
2201000;Powiat bytowski;262,00
2202000;Powiat chojnicki;364,00
2203000;Powiat cz³uchowski;153,00
2205000;Powiat kartuski;370,00
2206000;Powiat koœcierski;386,00
2207000;Powiat kwidzyñski;345,00
2208000;Powiat lêborski;233,00
2209000;Powiat malborski;162,00
2210000;Powiat nowodworski;212,00
2211000;Powiat pucki;166,00
2213000;Powiat starogardzki;293,00
2214000;Powiat tczewski;211,00
2215000;Powiat wejherowski;528,00
2216000;Powiat sztumski;257,00
2261000;Powiat m.Gdañsk;2968,00
2262000;Powiat m.Gdynia;970,00
2263000;Powiat m.S³upsk;661,00
2264000;Powiat m.Sopot;167,00
2400000;ŒL¥SKIE;25989,00
2401000;Powiat bêdziñski;542,00
2402000;Powiat bielski;648,00
2403000;Powiat cieszyñski;1502,00
2404000;Powiat czêstochowski;194,00
2405000;Powiat gliwicki;543,00
