Kod;Nazwa;udzia³ terenów zieleni w powierzchni ogó³em
1424000;Powiat pu³tuski;0,00
1425000;Powiat radomski;0,07
1426000;Powiat siedlecki;0,00
1427000;Powiat sierpecki;0,00
1428000;Powiat sochaczewski;0,06
1429000;Powiat soko³owski;0,00
1430000;Powiat szyd³owiecki;0,25
1432000;Powiat warszawski zachodni;0,26
1433000;Powiat wêgrowski;0,00
1434000;Powiat wo³omiñski;0,10
1435000;Powiat wyszkowski;0,00
1436000;Powiat zwoleñski;0,00
1437000;Powiat ¿uromiñski;0,00
1438000;Powiat ¿yrardowski;0,22
1461000;Powiat m.Ostro³êka;4,25
1462000;Powiat m.P³ock;2,95
1463000;Powiat m.Radom;4,60
1464000;Powiat m.Siedlce;4,75
1465000;Powiat m. st. Warszawa;5,82
1600000;OPOLSKIE;0,22
1601000;Powiat brzeski;0,17
1602000;Powiat g³ubczycki;0,09
1603000;Powiat kêdzierzyñsko-kozielski;0,17
1604000;Powiat kluczborski;0,17
1605000;Powiat krapkowicki;0,36
1606000;Powiat namys³owski;0,16
1607000;Powiat nyski;0,16
1608000;Powiat oleski;0,00
1609000;Powiat opolski;0,34
1610000;Powiat prudnicki;0,13
1611000;Powiat strzelecki;0,21
1661000;Powiat m.Opole;3,82
1800000;PODKARPACKIE;0,10
1801000;Powiat bieszczadzki;0,00
1802000;Powiat brzozowski;0,00
1803000;Powiat dêbicki;0,08
1804000;Powiat jaros³awski;0,00
1805000;Powiat jasielski;0,00
1806000;Powiat kolbuszowski;0,00
1807000;Powiat kroœnieñski;0,10
1808000;Powiat le¿ajski;0,07
1809000;Powiat lubaczowski;0,00
1810000;Powiat ³añcucki;0,17
1811000;Powiat mielecki;0,25
1812000;Powiat ni¿añski;0,00
1813000;Powiat przemyski;0,00
1814000;Powiat przeworski;0,13
1815000;Powiat ropczycko-sêdziszowski;0,00
1816000;Powiat rzeszowski;0,00
1817000;Powiat sanocki;0,08
1818000;Powiat stalowowolski;0,16
1819000;Powiat strzy¿owski;0,00
1820000;Powiat tarnobrzeski;0,07
1821000;Powiat leski;0,00
1861000;Powiat m.Krosno;1,91
1862000;Powiat m.Przemyœl;2,33
1863000;Powiat m.Rzeszów;2,58
1864000;Powiat m.Tarnobrzeg;1,28
2000000;PODLASKIE;0,06
2001000;Powiat augustowski;0,00
2002000;Powiat bia³ostocki;0,00
2003000;Powiat bielski;0,00
2004000;Powiat grajewski;0,00
2005000;Powiat hajnowski;0,00
2006000;Powiat kolneñski;0,00
2007000;Powiat ³om¿yñski;0,00
2008000;Powiat moniecki;0,00
2009000;Powiat sejneñski;0,00
2010000;Powiat siemiatycki;0,05
2011000;Powiat sokólski;0,00
2012000;Powiat suwalski;0,00
2013000;Powiat wysokomazowiecki;0,00
2014000;Powiat zambrowski;0,00
2061000;Powiat m.Bia³ystok;3,96
2062000;Powiat m.£om¿a;2,88
2063000;Powiat m.Suwa³ki;1,40
2200000;POMORSKIE;0,19
2201000;Powiat bytowski;0,00
2202000;Powiat chojnicki;0,14
2203000;Powiat cz³uchowski;0,23
2204000;Powiat gdañski;0,15
2205000;Powiat kartuski;0,00
2206000;Powiat koœcierski;0,05
2207000;Powiat kwidzyñski;0,22
2208000;Powiat lêborski;0,17
2209000;Powiat malborski;0,23
2210000;Powiat nowodworski;0,07
2211000;Powiat pucki;0,17
2212000;Powiat s³upski;0,12
2213000;Powiat starogardzki;0,06
2214000;Powiat tczewski;0,38
2215000;Powiat wejherowski;0,09
2216000;Powiat sztumski;0,06
2261000;Powiat m.Gdañsk;2,81
2262000;Powiat m.Gdynia;2,02
2263000;Powiat m.S³upsk;1,94
2264000;Powiat m.Sopot;5,94
2400000;ŒL¥SKIE;0,76
2401000;Powiat bêdziñski;0,94
2402000;Powiat bielski;0,18
2403000;Powiat cieszyñski;0,30
2404000;Powiat czêstochowski;0,00
2405000;Powiat gliwicki;0,25
2406000;Powiat k³obucki;0,00
2407000;Powiat lubliniecki;0,14
2408000;Powiat miko³owski;0,42
2409000;Powiat myszkowski;0,09
2410000;Powiat pszczyñski;0,59
2411000;Powiat raciborski;0,26
2412000;Powiat rybnicki;0,32
2413000;Powiat tarnogórski;0,84
2414000;Powiat bieruñsko-lêdziñski;0,53
2415000;Powiat wodzis³awski;0,71
2416000;Powiat zawierciañski;0,15
2417000;Powiat ¿ywiecki;0,10
2461000;Powiat m.Bielsko-Bia³a;1,50
2462000;Powiat m.Bytom;4,84
2463000;Powiat m.Chorzów;21,91
2464000;Powiat m.Czêstochowa;2,82
2465000;Powiat m.D¹browa Górnicza;2,33
2466000;Powiat m.Gliwice;3,06
2467000;Powiat m.Jastrzêbie-Zdrój;1,61
2468000;Powiat m.Jaworzno;1,85
2469000;Powiat m.Katowice;6,41
2470000;Powiat m.Mys³owice;1,18
2471000;Powiat m.Piekary Œl¹skie;2,27
2472000;Powiat m.Ruda Œl¹ska;4,93
2473000;Powiat m.Rybnik;2,09
2474000;Powiat m.Siemianowice Œl¹skie;9,14
2475000;Powiat m.Sosnowiec;5,23
2476000;Powiat m.Œwiêtoch³owice;7,48
2477000;Powiat m.Tychy;5,03
