Kod;Nazwa;ogó³em
1463000;Powiat m.Radom;278860
1464000;Powiat m.Siedlce;146983
1465000;Powiat m. st. Warszawa;6721239
1600000;OPOLSKIE;13736434
1601000;Powiat brzeski;112682
1602000;Powiat g³ubczycki;11403
1603000;Powiat kêdzierzyñsko-kozielski;1442838
1604000;Powiat kluczborski;54563
1605000;Powiat krapkowicki;4150168
1606000;Powiat namys³owski;25687
1607000;Powiat nyski;113854
1608000;Powiat oleski;23236
1609000;Powiat opolski;7164033
1610000;Powiat prudnicki;36396
1611000;Powiat strzelecki;43266
1661000;Powiat m.Opole;558308
1800000;PODKARPACKIE;3767845
1801000;Powiat bieszczadzki;14972
1803000;Powiat dêbicki;115085
1804000;Powiat jaros³awski;183104
1805000;Powiat jasielski;145430
1806000;Powiat kolbuszowski;20135
1807000;Powiat kroœnieñski;51782
1808000;Powiat le¿ajski;376155
1809000;Powiat lubaczowski;2742
1810000;Powiat ³añcucki;18702
1811000;Powiat mielecki;354294
1812000;Powiat ni¿añski;27612
1814000;Powiat przeworski;11727
1815000;Powiat ropczycko-sêdziszowski;93202
1816000;Powiat rzeszowski;37799
1817000;Powiat sanocki;71260
1818000;Powiat stalowowolski;1429696
1819000;Powiat strzy¿owski;574
1820000;Powiat tarnobrzeski;16966
1821000;Powiat leski;147
1861000;Powiat m.Krosno;104321
1862000;Powiat m.Przemyœl;110442
1863000;Powiat m.Rzeszów;492303
1864000;Powiat m.Tarnobrzeg;89395
2000000;PODLASKIE;1616560
2001000;Powiat augustowski;44380
2002000;Powiat bia³ostocki;12373
2003000;Powiat bielski;48648
2004000;Powiat grajewski;135717
2005000;Powiat hajnowski;89397
2006000;Powiat kolneñski;28856
2007000;Powiat ³om¿yñski;12682
2008000;Powiat moniecki;25564
2010000;Powiat siemiatycki;20897
2011000;Powiat sokólski;13094
2013000;Powiat wysokomazowiecki;58735
2014000;Powiat zambrowski;39800
2061000;Powiat m.Bia³ystok;824946
2062000;Powiat m.£om¿a;105911
2063000;Powiat m.Suwa³ki;155560
2200000;POMORSKIE;6523874
2201000;Powiat bytowski;25770
2202000;Powiat chojnicki;41949
2203000;Powiat cz³uchowski;24943
2205000;Powiat kartuski;16489
2206000;Powiat koœcierski;42447
2207000;Powiat kwidzyñski;1688436
2208000;Powiat lêborski;63385
2209000;Powiat malborski;134232
2210000;Powiat nowodworski;13482
2211000;Powiat pucki;22874
2212000;Powiat s³upski;37076
2213000;Powiat starogardzki;203814
2214000;Powiat tczewski;95535
2215000;Powiat wejherowski;78420
2216000;Powiat sztumski;53211
2261000;Powiat m.Gdañsk;2983630
2262000;Powiat m.Gdynia;816965
2263000;Powiat m.S³upsk;166868
2264000;Powiat m.Sopot;14348
2400000;ŒL¥SKIE;43390320
2401000;Powiat bêdziñski;4419602
2402000;Powiat bielski;416779
2403000;Powiat cieszyñski;130162
2404000;Powiat czêstochowski;477283
2405000;Powiat gliwicki;208013
2406000;Powiat k³obucki;14779
2407000;Powiat lubliniecki;24384
2408000;Powiat miko³owski;5136180
2409000;Powiat myszkowski;91247
2410000;Powiat pszczyñski;308900
2411000;Powiat raciborski;105702
2412000;Powiat rybnicki;122941
2413000;Powiat tarnogórski;464491
2414000;Powiat bieruñsko-lêdziñski;124981
2415000;Powiat wodzis³awski;478651
2416000;Powiat zawierciañski;312116
2417000;Powiat ¿ywiecki;40686
2461000;Powiat m.Bielsko-Bia³a;329262
2462000;Powiat m.Bytom;440699
2463000;Powiat m.Chorzów;988623
2464000;Powiat m.Czêstochowa;742696
2465000;Powiat m.D¹browa Górnicza;8020782
2466000;Powiat m.Gliwice;499431
2467000;Powiat m.Jastrzêbie-Zdrój;634691
2468000;Powiat m.Jaworzno;7172251
2469000;Powiat m.Katowice;933240
2470000;Powiat m.Mys³owice;129554
2471000;Powiat m.Piekary Œl¹skie;83788
2472000;Powiat m.Ruda Œl¹ska;577008
2473000;Powiat m.Rybnik;8600751
2474000;Powiat m.Siemianowice Œl¹skie;10125
2475000;Powiat m.Sosnowiec;155499
2476000;Powiat m.Œwiêtoch³owice;45901
2477000;Powiat m.Tychy;605550
2478000;Powiat m.Zabrze;455950
2479000;Powiat m.¯ory;87622
2600000;ŒWIÊTOKRZYSKIE;13330270
2601000;Powiat buski;34550
2602000;Powiat jêdrzejowski;1019521
2603000;Powiat kazimierski;19436
2604000;Powiat kielecki;1459222
2605000;Powiat konecki;122570
2606000;Powiat opatowski;1745324
2607000;Powiat ostrowiecki;337691
2608000;Powiat piñczowski;82967
2609000;Powiat sandomierski;129276
2610000;Powiat skar¿yski;104934
2611000;Powiat starachowicki;121095
2612000;Powiat staszowski;7356796
2613000;Powiat w³oszczowski;472437
2661000;Powiat m.Kielce;324451
2800000;WARMIÑSKO-MAZURSKIE;1532659
2801000;Powiat bartoszycki;33134
2802000;Powiat braniewski;33238
2803000;Powiat dzia³dowski;31456
2804000;Powiat elbl¹ski;36761
2805000;Powiat e³cki;137198
2806000;Powiat gi¿ycki;71136
2807000;Powiat i³awski;71676
2808000;Powiat kêtrzyñski;35355
2809000;Powiat lidzbarski;63554
2810000;Powiat mr¹gowski;66699
2811000;Powiat nidzicki;6802
2813000;Powiat olecki;1438
2814000;Powiat olsztyñski;1280
2815000;Powiat ostródzki;80829
2816000;Powiat piski;76347
2819000;Powiat wêgorzewski;5322
2861000;Powiat m.Elbl¹g;329400
2862000;Powiat m.Olsztyn;451034
3000000;WIELKOPOLSKIE;16801325
3001000;Powiat chodzieski;15652
3002000;Powiat czarnkowsko-trzcianecki;243416
3003000;Powiat gnieŸnieñski;127315
3004000;Powiat gostyñski;167373
3005000;Powiat grodziski;222
3006000;Powiat jarociñski;33681
3007000;Powiat kaliski;115
3008000;Powiat kêpiñski;21334
3009000;Powiat kolski;50398
3010000;Powiat koniñski;34370
3012000;Powiat krotoszyñski;24075
3013000;Powiat leszczyñski;59
3014000;Powiat miêdzychodzki;67321
3015000;Powiat nowotomyski;63902
3017000;Powiat ostrowski;133557
3018000;Powiat ostrzeszowski;4067
3019000;Powiat pilski;221113
3021000;Powiat poznañski;58569
3022000;Powiat rawicki;58183
3023000;Powiat s³upecki;36814
3024000;Powiat szamotulski;112921
3025000;Powiat œredzki;89603
3026000;Powiat œremski;51891
3027000;Powiat turecki;4366436
3028000;Powiat w¹growiecki;6100
3029000;Powiat wolsztyñski;21531
3030000;Powiat wrzesiñski;21148
3031000;Powiat z³otowski;31172
3061000;Powiat m.Kalisz;145797
3062000;Powiat m.Konin;8818552
3063000;Powiat m.Leszno;85588
3064000;Powiat m.Poznañ;1689050
3200000;ZACHODNIOPOMORSKIE;9149264
3201000;Powiat bia³ogardzki;109073
3202000;Powiat choszczeñski;14008
3203000;Powiat drawski;13372
3204000;Powiat goleniowski;32218
3206000;Powiat gryfiñski;5715920
3207000;Powiat kamieñski;82
3208000;Powiat ko³obrzeski;101198
3209000;Powiat koszaliñski;8982
3210000;Powiat myœliborski;139898
3211000;Powiat policki;1128632
3213000;Powiat s³awieñski;10083
3214000;Powiat stargardzki;174286
3215000;Powiat szczecinecki;261619
3216000;Powiat œwidwiñski;20226
3217000;Powiat wa³ecki;41334
3218000;Powiat ³obeski;11910
3261000;Powiat m.Koszalin;151905
3262000;Powiat m.Szczecin;1138264
3263000;Powiat m.Œwinoujœcie;76254
